Brand,Model,Price (INR),Coverage (sq ft),CADR (m³/h),Filtration Stages,Smart Features,Target Pollutants
Philips,AC1215/20,10999,333,270.0,Pre-filter + HEPA + Carbon,"AQI indicator, NightSense, Filter alert","CO, NO2, Odors, PM10, PM2.5, SO2, VOCs"
Philips,AC2887,18499,441,333.0,Pre-filter + HEPA + Carbon,"Real-time AQI, Auto mode, Allergen mode","CO, NO2, Odors, PM10, PM2.5, SO2, VOCs"
Dyson,TP07,42900,600,,Sealed HEPA H13 + Activated Carbon,"WiFi, App control, Alexa support, Air Multiplier","CO, NO2, Odors, PM10, PM2.5, SO2, VOCs"
Xiaomi,Mi Air Purifier 4 Lite,9999,462,360.0,Pre-filter + HEPA + Carbon,"OLED display, App, Alexa/Google","CO, NO2, Odors, PM10, PM2.5, SO2, VOCs"
Xiaomi,Smart Air Purifier 4,13999,516,400.0,Pre-filter + True HEPA + Activated Carbon,"Smart App, Voice control","CO, NO2, Odors, PM10, PM2.5, SO2, VOCs"
Honeywell,Air Touch V2,7999,388,250.0,Pre-filter + HEPA + Carbon,"AQI display, App-enabled, Timer","CO, NO2, Odors, PM10, PM2.5, SO2, VOCs"
Honeywell,Air Touch U2,16999,450,300.0,Pre-filter + HEPA + Carbon + UV,"PM2.5 Indicator, Auto mode","Allergens, Bacteria, CO, Fungi, NO2, Odors, PM10, PM2.5, SO2, VOCs, Viruses"
Sharp,FP-F40E-W,12990,320,240.0,Pre-filter + HEPA + Active Carbon + Plasmacluster,"Dust sensor, Auto mode, Silent mode","Allergens, Bacteria, CO, Fungi, NO2, Odors, PM10, PM2.5, SO2, VOCs, Viruses"
Eureka Forbes,Aeroguard AP 700,14999,600,400.0,HEPA + UV + Carbon + Anti-bac,"WiFi control, Real-time PM2.5","Allergens, Bacteria, CO, Fungi, NO2, Odors, PM10, PM2.5, SO2, VOCs, Viruses"
Blue Star,BS-AP490LAN,15990,800,915.0,5-stage (Pre + HEPA + Carbon + Cold Catalyst + Ionizer),"Digital Display, Timer, Auto mode","Allergens, Bacteria, CO, Fungi, NO2, Odors, PM10, PM2.5, SO2, VOCs, Viruses"
LEVOIT,Core 300S,15999,219,195.0,Pre-filter + H13 HEPA + Carbon,"App, Voice control (Alexa), Sleep mode","CO, NO2, Odors, PM10, PM2.5, SO2, VOCs"
Kent,Aura Air Purifier,9999,290,180.0,HEPA + Carbon + Ionizer,"Filter change indicator, Child lock","Allergens, Bacteria, CO, Fungi, NO2, Odors, PM10, PM2.5, SO2, VOCs, Viruses"
Samsung,AX32BG3100GG,11990,356,311.0,Pre-filter + HEPA + Deodorization,"Auto mode, AQI LED, Sleep mode","PM10, PM2.5"
Panasonic,F-PXJ30AHD,8799,215,168.0,Pre-filter + HEPA + Deodorizer,"Odour sensor, Silent mode","PM10, PM2.5"
